author,polarity
tqylorr,-0.7
ROTIMI_VICTORR,0
cherrygalleries,-0.1
matinfathii,0.1
jcombe2,-0.7
home_sittin,0.2
kikiwannakaikai,0
msslm54,0.05
AuroraFoxxo,0
TrumpIsTheEnemy,0
menoakim,0
RoseWolf08,-0.4
patrick45487335,0
PeaceAndFades,0
AnthonyOsso1,0
saffron41414141,0
Teps_Teps,0
chaos_shameless,0
plushdinos,0
chaos_shameless,-0.08333333333
pisceanmoonbby,0.8
SpoiledKiyah,0
staycfan07,0
LRN,0.3333333333
MicheleFank,0
SandraH81799780,-0.6
CamGolden23,0
theberrygang1,0
GeigelAshley,0
Self_Lover_Boy,0
blooumnn,0
Test37696746,0
__j_t_j__,0
Moes89901076,0.2952380952
TheKingDayy,0
iamchadicus,0
imjuniora,0
pecunium,-0.2333333333
Briturican,0.4
yungblaxe,0
Squijibo,0
BuieBedi12,0
TrumpIsTheEnemy,0
little_pinkie10,0.02083333333
MikeDiaz285,0.08484848485
goldenrfile,0
jeebusdial,-0.25
amirandm,-0.4
ThunderMb1,0
kenychordz,0
maverickAoko__,0.03611111111
TeriqSoCompton,0
nupacalypse_prv,0
itsamyyyylouise,0
1NadineSmith,0
AustinLeeWinn,0
ITgworl01,0.5
TrumpIsTheEnemy,0
AbdurAbudu53776,0.1666666667
riimsmikhailova,0
SUPER_OTAKU12,0
stayballing24,0
SamSstarr1,0
tropicbabi,-0.4
stellastafford,-0.06666666667
deegarvin_sara,-0.5375
fatso_gordo,0
Danymota77,0
birdielou3733,-0.05
mr_vior,0
afe_dayo,0
PatrickPicciolo,0
taybrinaxo,-0.1
migwhigginton,0
TheBoi23,0
princeXdottore,0
TPPF,0.08484848485
pityputri__,0
cv_cev,0.3
ItsIzzyJr,0
jarvis_wilson,0
CarolineMack18,0
waakeniaa,-0.4
womapodolchuk,0
bamablacks,0
mosqueragoce,0
milliscookies,-0.4
chigirette,-0.2
Narrative4_IRL,0.172979798
mrsJBC01,0
refletsbleus,-0.1
superdeepdown,0
CSIS_Econ,0.35
michell47758502,0.2666666667
sir_billiam92,0
sandycompany,0.1666666667
eiritana,0
ushouldleavetbh,-0.4
LGBGaming,-0.05982142857
Skyryu_Wyvern,0.25
MannySteinn,0
Dipshittington,0
stephengittins1,0
23jpena,0.05
ITZY_YEJI_FANS,0.025
TheProjectNull,-0.625
Mr_jayydee,0
codssjgod,0.25
paulvseale,0.05
SkaterDame,0
_gidDy_Up_,0.2
Laurel700,0
renorud3,0
redbulletin,0.2222222222
darekn,0
GranadaHammers,0.3
greg_7880,0
FasihTanoli,0.07060606061
jennydontcare29,0
BannonRace,0.2
VonTheGOAT97,0
__DAngelo__,0
nomitha_rehan,0
sktoowhite,0
PrynceBarrett,0
enkigx3,0
offwhytepufa,0
BelvidereBarb,0
Quinnkii,0
madelynrogers,0.35
ExiledPaddy62,0
dw3l,0.35
Pooja33719735,0.2
SlumberBaloo,0
YOUNGROZAY127,0
__gggging,0
navabhi1,0.06944444444
Khacheee,-0.2
FParsonage,-0.1416666667
filius_jack,0.1
Vkk97566048,0
amya81,0.07857142857
CraigMcKeeEdu,-0.15
LaurelT1,0.2
priest_rebel,-0.4333333333
Pupy0806,0
tmtiolvr,0
M_KA_RB,-0.125
montoyafrancis,0
MKH13Omasters,0.25
mzulutheking2,0
Bonsei12,0
jenkimgal,0
